** CONVERTED FROM ss00r01.edf using edfapi 4.2.762.0 Linux   standalone Jul 20 2023 on Thu Oct 17 13:11:11 2024
** DATE: Sat Oct 12 03:26:32 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.51 Mar 13 2010
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH9
** SERIAL NUMBER: CLO-ZAD17
** CAMERA_CONFIG: ZAD17140.SCD
**

MSG	1207252 DISPLAY_COORDS  0 0 1919 1079
MSG	1207264 RECCFG CR 1000 1 1 L
MSG	1207264 ELCLCFG TOWER
MSG	1207264 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1207264 THRESHOLDS L 58 218
MSG	1207264 ELCL_PROC ELLIPSE  (5)
MSG	1207264 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1207265 !MODE RECORD CR 1000 1 1 L
START	1207266 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
1207381	  989.2	  633.3	 2297.0	...
1207382	  992.5	  632.6	 2289.0	...
1207383	  992.5	  632.6	 2289.0	...
1207384	  992.7	  631.2	 2290.0	...
1207385	  992.5	  631.2	 2291.0	...
1207386	  991.1	  639.3	 2293.0	...
1207387	  991.7	  639.3	 2293.0	...
1207388	  994.4	  639.3	 2293.0	...
1207389	  994.4	  639.3	 2293.0	...
1207390	  991.5	  638.7	 2288.0	...
1207391	  991.3	  638.7	 2288.0	...
1207392	  991.1	  639.8	 2287.0	...
EFIX L   1207272	1207392	121	  995.4	  627.7	   2314
SSACC L  1207393
1207393	  990.2	  639.9	 2287.0	...
1207394	  990.2	  639.6	 2339.0	...
1207395	  990.8	  639.3	 2339.0	...
1207396	  991.9	  636.5	 2342.0	...
1207397	  994.8	  633.7	 2345.0	...
1207398	  996.1	  630.9	 2351.0	...
1207399	  997.6	  630.7	 2351.0	...
1207400	  999.1	  630.7	 2330.0	...
1207401	  992.8	  662.2	 2236.0	...
1207402	  986.2	  693.9	 2182.0	...
1207403	  969.2	  751.9	 2026.0	...
1207404	  959.1	  804.1	 1933.0	...
1207405	  948.0	  865.6	 1817.0	...
1207406	  937.5	  953.6	 1706.0	...
1207407	  930.4	 1042.0	 1514.0	...
1207408	  912.2	 1164.2	 1427.0	...
1207409	  901.1	 1404.3	 1029.0	...
1207410	  894.2	 1493.3	  924.0	...
1207411	  894.2	 1493.3	  924.0	...
SBLINK L 1207412
1207412	   .	   .	    0.0	...
1207413	   .	   .	    0.0	...
1207414	   .	   .	    0.0	...
1207415	   .	   .	    0.0	...
1207416	   .	   .	    0.0	...
1207417	   .	   .	    0.0	...
1207418	   .	   .	    0.0	...
1207419	   .	   .	    0.0	...
1207420	   .	   .	    0.0	...
1207421	   .	   .	    0.0	...
1207422	   .	   .	    0.0	...
1207423	   .	   .	    0.0	...
1207424	   .	   .	    0.0	...
1207425	   .	   .	    0.0	...
1207426	   .	   .	    0.0	...
1207427	   .	   .	    0.0	...
1207428	   .	   .	    0.0	...
1207429	   .	   .	    0.0	...
1207430	   .	   .	    0.0	...
1207431	   .	   .	    0.0	...
1207432	   .	   .	    0.0	...
1207433	   .	   .	    0.0	...
1207434	   .	   .	    0.0	...
1207435	   .	   .	    0.0	...
1207436	   .	   .	    0.0	...
1207437	   .	   .	    0.0	...
1207438	   .	   .	    0.0	...
